keyword,search_volume,keyword_difficulty,cpc,current_url,rank,clicks,impressions,ctr,primary_intent,branded,cluster_id,cluster_label,recommended_page,recommended_url,page_similarity_score,content_gap,current_page,primary_topic,topic_similarity_score,opportunity_score,notes
A/B testing,2200,55,7.2,,33,123,1560,7.9,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0183,Content gap — no suitable page found
click-through rate,1700,53,3.8,/seo-services/,41,78,1200,6.5,informational,False,5,Rate / Conversion Rate / Conversion,Home,/,0.0,True,SEO Services,SEO Basics,0.0,0.0389,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
copywriting,2600,50,6.1,,68,34,670,5.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.1948,Content gap — no suitable page found
lead generation,3800,69,12.8,,37,198,2100,9.4,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,-0.0123,Content gap — no suitable page found
mobile optimization,2100,57,5.4,/website-development/,29,112,1340,8.4,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,-0.0162,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
inbound marketing,1800,54,7.6,,56,67,890,7.5,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.1672,0.0852,Content gap — no suitable page found
affiliate marketing,4200,71,8.2,,72,23,560,4.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.1672,0.1059,Content gap — no suitable page found
content management,1600,47,5.9,,48,89,1120,7.9,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Content Strategy,0.2632,0.1077,Content gap — no suitable page found
influencer marketing,3500,67,9.3,,63,45,890,5.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.1672,0.0774,Content gap — no suitable page found
sales funnel,2800,61,11.4,,31,167,1890,8.8,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,-0.0111,Content gap — no suitable page found
search query,1400,58,3.2,,54,56,780,7.2,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.027,Content gap — no suitable page found
target audience,2100,52,5.8,,44,78,1100,7.1,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0755,Content gap — no suitable page found
viral marketing,1200,60,4.6,,77,12,340,3.5,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.1672,0.0779,Content gap — no suitable page found
bounce rate,2300,55,4.3,/seo-services/,36,123,1560,7.9,informational,False,5,Rate / Conversion Rate / Conversion,Home,/,0.0,True,SEO Services,SEO Basics,0.0,0.0329,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
domain authority,2600,67,4.1,/seo-services/,27,189,1780,10.6,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,SEO Services,SEO Basics,0.0,-0.0835,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
meta description,1900,58,3.7,/seo-services/,19,234,2100,11.1,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,SEO Services,SEO Basics,0.0,-0.067,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
page speed,2700,61,4.2,/website-development/,14,312,2450,12.7,informational,False,6,Page / Speed / Page Speed,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,-0.0723,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
ROI,4500,64,15.6,,42,89,1340,6.6,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0779,Content gap — no suitable page found
social proof,1800,49,5.8,,55,67,890,7.5,commercial,False,7,Social / Social Proof / Social Media,Home,/,0.0,True,,Social Media Marketing,0.2239,0.1235,Content gap — no suitable page found
call to action,2400,53,6.4,/website-development/,24,156,1340,11.6,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,0.0141,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
CMS,2100,55,8.9,,38,145,1890,7.7,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0305,Content gap — no suitable page found
CRM,3400,63,18.4,,46,89,1120,7.9,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0495,Content gap — no suitable page found
customer segmentation,1600,57,9.2,,59,45,670,6.7,commercial,False,2,Customer / Segmentation / Journey,Home,/,0.0,True,,Customer Engagement,0.272,0.0611,Content gap — no suitable page found
website development,2900,58,12.5,/website-development/,8,340,4200,8.1,commercial,False,4,Marketing / Seo / Content,Website Development Services,/website-development/,0.7347,False,Website Development Services,Website Development,1.0,-0.0515,
link building,2200,71,5.6,/seo-services/,16,212,2100,10.1,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,SEO Services,SEO Basics,0.0,-0.1717,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
online reputation,1400,53,6.8,,62,34,560,6.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.0953,Content gap — no suitable page found
SEO audit,1900,62,7.3,/seo-services/,11,278,2560,10.9,commercial,False,4,Marketing / Seo / Content,SEO Services,/seo-services/,0.2296,False,SEO Services,SEO Basics,0.2383,-0.127,
user interface,2800,54,6.2,/website-development/,21,198,1780,11.1,informational,False,1,User / User Interface / User Experience,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,0.0139,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
data-driven marketing,1300,59,8.4,,48,56,780,7.2,informational,False,3,Marketing / Driven Marketing / Driven,Home,/,0.0,True,,Digital Marketing,0.1233,-0.0059,Content gap — no suitable page found
seo basics,1100,45,3.1,/seo-services/,7,345,3400,10.1,informational,False,4,Marketing / Seo / Content,SEO Services,/seo-services/,0.2468,False,SEO Services,SEO Basics,1.0,-0.025,
